leaf_size, node_size, main_loc, snippet_size, snippet_loc, build_or_not
2, 4, -1, 1, -1, false
2, 3, -1, 0, -1, false
2, 3, -1, 1, -1, true
2, 3, -1, 1, -1, true
0, 1, -1, 1, -1, true
7, 8, -1, 19, -1, false
7, 8, -1, 19, -1, false
3, 4, -1, 2, -1, false
11, 15, -1, 4, -1, false
13, 18, -1, 16, -1, false
11, 16, -1, 3, -1, false
1, 1, -1, 3, -1, false
1, 1, -1, 3, -1, false
1, 1, -1, 3, -1, false
3, 7, -1, 0, -1, false
4, 8, -1, 0, -1, false
0, 1, -1, 0, -1, false
0, 1, -1, 0, -1, true
1, 1, -1, 0, -1, false
1, 2, -1, 0, -1, false
3, 5, -1, 3, -1, false
2, 4, -1, 2, -1, false
1, 3, -1, 2, -1, false
0, 2, -1, 1, -1, true
1, 3, -1, 1, -1, false
2, 4, -1, 1, -1, false
14, 26, -1, 7, -1, false
13, 25, -1, 23, -1, false
13, 23, -1, 21, -1, false
0, 1, -1, 0, -1, true
3, 4, -1, 0, -1, true
1, 1, -1, 0, -1, false
7, 10, -1, 1, -1, false
4, 7, -1, 1, -1, false
7, 10, -1, 1, -1, false
2, 3, -1, 1, -1, false
2, 3, -1, 1, -1, false
2, 3, -1, 1, -1, false
8, 9, -1, 2, -1, false
8, 9, -1, 2, -1, false
8, 9, -1, 2, -1, false
5, 6, -1, 1, -1, true
3, 4, -1, 1, -1, true
2, 3, -1, 1, -1, true
5, 6, -1, 3, -1, false
5, 6, -1, 3, -1, false
3, 4, -1, 3, -1, false
5, 9, -1, 5, -1, false
7, 11, -1, 1, -1, false
9, 13, -1, 5, -1, false
17, 33, -1, 19, -1, false
18, 34, -1, 15, -1, false
16, 31, -1, 7, -1, false
12, 22, -1, 3, -1, false
10, 18, -1, 3, -1, false
7, 17, -1, 3, -1, false
16, 25, -1, 30, -1, false
17, 26, -1, 29, -1, false
16, 24, -1, 33, -1, false
4, 8, -1, 13, -1, false
2, 5, -1, 13, -1, false
2, 6, -1, 13, -1, false
2, 3, -1, 2, -1, false
1, 2, -1, 2, -1, false
1, 1, -1, 0, -1, false
8, 11, -1, 26, -1, false
6, 9, -1, 17, -1, false
5, 8, -1, 23, -1, false
1, 1, -1, 4, -1, false
4, 5, -1, 10, -1, false
4, 5, -1, 7, -1, false
18, 32, -1, 48, -1, false
12, 25, -1, 3, -1, false
16, 29, -1, 3, -1, false
13, 20, -1, 2, -1, false
13, 19, -1, 2, -1, false
11, 19, -1, 14, -1, false
5, 9, -1, 54, -1, false
8, 14, -1, 54, -1, false
8, 14, -1, 54, -1, false
4, 7, -1, 1, -1, false
2, 5, -1, 1, -1, false
5, 8, -1, 13, -1, false
5, 8, -1, 3, -1, false
6, 9, -1, 15, -1, false
3, 6, -1, 15, -1, false
2, 5, -1, 0, -1, false
1, 5, -1, 0, -1, false
1, 5, -1, 0, -1, false
5, 10, -1, 2, -1, false
2, 6, -1, 1, -1, false
2, 7, -1, 2, -1, false
2, 3, -1, 3, -1, false
2, 3, -1, 3, -1, false
0, 1, -1, 0, -1, true
1, 1, -1, 3, -1, false
1, 1, -1, 3, -1, false
2, 3, -1, 3, -1, false
4, 11, -1, 1, -1, false
4, 9, -1, 1, -1, false
5, 10, -1, 0, -1, false
5, 11, -1, 0, -1, true
7, 14, -1, 0, -1, true
6, 14, -1, 0, -1, true
2, 3, -1, 1, -1, true
1, 1, -1, 1, -1, true
2, 3, -1, 1, -1, true
5, 8, -1, 2, -1, true
4, 7, -1, 2, -1, true
4, 7, -1, 2, -1, true
2, 6, -1, 1, -1, true
0, 3, -1, 1, -1, true
1, 5, -1, 1, -1, true
2, 5, -1, 1, -1, true
0, 3, -1, 1, -1, true
3, 7, -1, 1, -1, true
17, 31, -1, 5, -1, false
18, 31, -1, 6, -1, false
23, 36, -1, 7, -1, false
21, 46, -1, 9, -1, false
19, 40, -1, 9, -1, false
16, 38, -1, 2, -1, false
8, 14, -1, 14, -1, false
11, 17, -1, 13, -1, false
11, 17, -1, 14, -1, false
2, 3, -1, 6, -1, true
2, 3, -1, 6, -1, true
