leaf_size, snippet_size, build_or_not
0, 0, true
0, 0, true
1, 0, true
0, 0, true
1, 0, true
0, 0, true
1, 0, true
1, 0, true
0, 0, true
1, 0, true
0, 0, true
4, 15, false
4, 15, false
0, 0, true
1, 0, true
0, 0, true
1, 0, true
3, 0, false
2, 0, false
2, 0, false
1, 0, true
1, 0, true
2, 0, true
2, 0, false
2, 0, false
3, 0, true
6, 16, false
4, 16, false
3, 15, false
0, 0, true
0, 0, true
1, 0, true
3, 0, true
1, 0, true
0, 0, true
2, 0, true
1, 0, true
3, 0, true
2, 4, true
2, 5, true
0, 0, true
10, 14, false
13, 2, false
13, 2, false
0, 0, true
0, 0, true
2, 16, false
0, 0, true
5, 13, false
4, 0, false
4, 0, true
5, 0, true
11, 0, true
1, 0, true
1, 0, true
0, 0, true
1, 0, true
0, 0, true
1, 0, true
4, 1, true
4, 1, true
3, 1, true
2, 0, false
1, 0, true
2, 0, false
1, 0, false
1, 0, false
1, 0, false
1, 1, true
2, 1, true
1, 1, true
4, 15, false
2, 1, true
4, 15, false
2, 0, false
4, 1, true
4, 1, false
4, 15, false
3, 15, false
3, 0, false
1, 0, false
1, 0, true
2, 0, false
2, 0, false
1, 0, false
1, 12, false
8, 2, true
7, 2, true
7, 1, true
6, 4, true
4, 0, true
2, 0, true
3, 0, true
1, 0, true
2, 0, true
4, 0, false
0, 0, true
3, 0, false
3, 0, true
1, 0, true
2, 0, true
9, 0, false
7, 0, false
9, 0, false

leaf_size, snippet_size, build_or_not
4, 1, false
1, 0, true
2, 1, false
1, 0, false
3, 0, false
1, 0, false
1, 0, false
1, 0, false
1, 0, false
6, 13, false
7, 13, false
6, 13, false
2, 1, false
4, 14, false
5, 14, false
2, 0, false
4, 14, false
3, 0, false
1, 0, false
2, 0, false
3, 0, false
1, 7, false
4, 7, false
2, 7, false
2, 9, false
2, 9, false
2, 8, false
7, 7, false
7, 8, false
4, 7, false
3, 2, false
4, 7, false
0, 0, true
2, 7, false
2, 8, false
7, 11, false
3, 8, false
6, 8, false
6, 7, false
1, 0, false
2, 7, false
1, 8, false
8, 13, false
7, 11, false
8, 16, false
5, 13, false
4, 12, false
1, 0, false
2, 7, false
3, 7, false
7, 9, false
3, 6, false
7, 6, false
5, 2, false
0, 0, true
0, 0, true
0, 0, true
0, 0, true
0, 0, true
0, 0, true
3, 8, false
2, 6, false
3, 8, false
6, 16, false
4, 11, false
4, 14, false
4, 6, false
4, 6, false
5, 6, false
1, 0, false
3, 8, false
2, 0, false
1, 5, false
1, 1, false
2, 5, false
3, 2, false
0, 0, true
2, 1, false
1, 0, true
1, 2, false
1, 0, true
0, 0, true
1, 3, false
1, 3, false
2, 1, false
2, 5, false
0, 0, true
3, 0, false
3, 0, false
4, 0, false
1, 0, false
4, 13, false
5, 15, false
2, 12, false
4, 13, false
7, 15, false
13, 15, false
11, 15, false
14, 15, false
10, 19, false
12, 18, false
12, 18, false
8, 24, false
9, 18, false
16, 27, false
5, 56, false
3, 1, false
3, 56, false
3, 56, false
1, 56, false
0, 0, true
2, 13, false
3, 13, false
4, 14, false
6, 17, false
7, 58, false
4, 17, false
7, 18, false
10, 17, false
10, 18, false
4, 58, false
6, 14, false
5, 58, false
4, 13, false
10, 57, false
10, 14, false
0, 0, true
0, 0, true
0, 0, true
11, 6, false
17, 6, false
9, 6, false
22, 56, false
23, 56, false
20, 56, false
11, 0, false
8, 0, false
10, 0, false
5, 0, false
3, 2, false
6, 0, false
18, 17, false
23, 30, false
18, 30, false
2, 0, false
1, 1, false
3, 1, false
2, 14, false
1, 12, false
0, 0, true
0, 0, true
0, 0, true
0, 0, true
2, 14, false
0, 0, true
3, 56, false
3, 14, false
1, 12, false
2, 14, false
38, 59, false
55, 65, false
48, 65, false
4, 10, false
8, 65, false
7, 65, false
8, 65, false
3, 65, false
4, 65, false
3, 0, false
0, 0, true
3, 0, false
10, 13, false
12, 15, false
8, 14, false
3, 11, false
6, 12, false
8, 12, false
5, 56, false
1, 0, false
0, 0, true
5, 12, false
6, 67, false
6, 13, false
2, 11, false
0, 0, true
2, 11, false
2, 14, false
3, 58, false
1, 0, true
0, 0, true
0, 0, true
1, 5, false
0, 0, true
2, 11, false
2, 11, false
2, 0, false
2, 0, false
2, 0, false
0, 0, true
0, 0, true
1, 1, false
8, 67, false
5, 74, false
9, 81, false
1, 0, false
0, 0, true
2, 3, false
2, 14, false
1, 0, false
0, 0, true
1, 1, false
3, 10, false
3, 65, false
2, 10, false
2, 11, false
2, 65, false
2, 1, false
2, 1, false
2, 65, false
0, 0, true
1, 0, false
1, 0, true
0, 0, true
1, 0, false
0, 0, true
3, 1, false
0, 0, true
4, 0, false
1, 16, false
0, 0, true
0, 0, true
5, 12, false
3, 58, false
2, 0, false
3, 12, false
1, 12, false
2, 12, false
5, 15, false
7, 62, false
5, 15, false
1, 65, false
1, 65, false
0, 0, true
10, 15, false
15, 15, false
14, 15, false
0, 0, true
1, 36, false
0, 0, true
9, 20, false
10, 15, false
7, 20, false
0, 0, true
0, 0, true
0, 0, true
8, 15, false
8, 23, false
15, 23, false
1, 26, false
0, 0, true
0, 0, true
3, 58, false
0, 0, true
1, 1, false
1, 0, true
0, 0, true
0, 0, true
0, 0, true
0, 0, true
1, 12, false
8, 3, false
4, 3, false
6, 3, false
0, 0, true
1, 3, false
1, 3, false
0, 0, true
1, 3, false
0, 0, true
0, 0, true
1, 3, false
1, 3, false
5, 3, false
5, 3, false
4, 3, false
1, 3, false
0, 0, true
0, 0, true
0, 0, true
0, 0, true
0, 0, true
0, 0, true
1, 1, false
1, 1, false
0, 0, true
0, 0, true
2, 4, false
2, 4, false
0, 0, true
0, 0, true
1, 3, false
0, 0, true
0, 0, true
1, 1, false
1, 1, false
1, 1, false
0, 0, true
0, 0, true
1, 1, false
2, 58, false
0, 0, true
1, 58, false
