filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 161, 1, 9, -110, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 162, 1, 9, -111, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 162, 1, 9, -111, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 166, 1, 9, -115, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 166, 1, 9, -115, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 170, 1, 9, -119, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 170, 1, 9, -119, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 170, 1, 8, -119, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 173, 1, 9, -122, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 174, 1, 9, -123, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 174, 1, 9, -123, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 178, 1, 9, -127, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 178, 1, 9, -127, 10, false
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 36, 1, 9, 18, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 36, 1, 8, 18, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 39, 1, 9, 15, 9, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 41, 1, 9, 13, 7, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 41, 1, 9, 13, 7, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 42, 1, 9, 12, 6, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 45, 1, 9, 9, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 45, 1, 9, 9, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 45, 1, 8, 9, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 48, 1, 9, 6, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 48, 1, 9, 6, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 48, 1, 8, 6, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 51, 1, 9, 3, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 51, 1, 9, 3, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 51, 1, 8, 3, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 54, 1, 9, 0, 4, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 54, 1, 9, 0, 4, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 54, 1, 8, 0, 4, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 57, 1, 9, -3, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 57, 1, 9, -3, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 57, 1, 8, -3, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 60, 1, 9, -6, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 60, 1, 9, -6, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 60, 1, 8, -6, 8, true
